,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Religion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Census of Population and General Household Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Resident Population Aged 15 Years and Over by Age Group, Religion and Sex (Census of Population 2010)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 06/10/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Number,
Age Group,Total,,,No Religion,,,Buddhism,,,Taoism*,,,Islam,,,Hinduism,,,Sikhism,,,Christianity - Catholic,,,Christianity - Other Christians,,,Other Religions,,,
,Total,Males,Females,Total,Males,Females,Total,Males,Females,Total,Males,Females,Total,Males,Females,Total,Males,Females,Total,Males,Females,Total,Males,Females,Total,Males,Females,Total,Males,Females,
Total,3105748,1517428,1588321,527553,278683,248870,1032879,500579,532300,339149,166927,172222,457435,225956,231478,157854,81634,76220,10744,5283,5461,219133,100083,119050,350111,153251,196860,10891,5031,5860,
  15 - 19,270986,140275,130711,56647,30077,26570,73554,38391,35163,18935,9785,9150,58492,30389,28102,11687,5504,6183,883,439,444,16613,8715,7898,33282,16525,16757,893,450,444,
  20 - 24,242360,124500,117860,51030,26375,24655,65725,34391,31335,20737,10795,9942,52678,27446,25231,9684,4675,5009,1031,568,462,13979,7057,6922,26779,12902,13877,718,291,426,
  25 - 29,261431,126519,134913,53774,27312,26463,77391,37802,39589,23738,11917,11821,44261,21716,22545,16465,7023,9442,929,532,397,17689,8304,9385,26446,11612,14834,737,300,437,
  30 - 34,291687,137861,153826,56105,27862,28243,91699,42896,48803,24154,12177,11977,35814,16842,18972,24623,12086,12537,826,382,443,24841,10980,13861,32794,14199,18594,831,436,395,
  35 - 39,318212,153129,165083,58490,28436,30055,104736,50291,54445,23534,11489,12045,38140,18253,19887,24402,14341,10061,1009,505,504,26491,12096,14395,40379,17304,23075,1031,413,618,
  40 - 44,304016,148382,155634,53455,26672,26783,102555,49510,53046,25030,12484,12546,42812,20694,22118,18522,11095,7427,1035,530,505,22272,10530,11742,37312,16388,20924,1023,479,544,
  45 - 49,319916,159397,160519,48947,26203,22744,113029,56818,56211,30638,15644,14995,50399,24880,25519,15121,8337,6785,1253,624,629,20920,9470,11450,38334,16765,21569,1275,657,618,
  50 - 54,303727,151988,151739,42404,23254,19151,111099,56231,54869,37764,19111,18653,43796,22028,21768,12128,6332,5795,1048,480,568,18887,8517,10371,35257,15348,19909,1343,687,656,
  55 - 59,252926,127280,125647,36479,20930,15549,94262,47001,47261,36670,18972,17698,32333,15838,16495,8705,4582,4123,981,530,451,16492,7274,9218,26045,11690,14354,961,463,498,
