,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Religion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Census of Population and General Household Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Resident Population Aged 15 Years and Over by Age Group, Religion and Sex (Census of Population 2000)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 06/10/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Number,
60 - 64,110670,53469,57200,10941,6802,4140,52775,24968,27806,13155,6428,6727,13654,6894,6760,4031,1723,2308,499,177,322,6584,2914,3671,8762,3451,5311,268,112,156,
65 - 69,87600,41679,45921,7790,5024,2766,41206,18894,22312,10947,5297,5650,12233,5643,6591,3328,1897,1431,380,134,245,4514,2008,2506,6970,2646,4323,232,135,97,
70 & Over,143735,60516,83218,12141,7272,4869,67772,25176,42596,19707,7562,12145,17126,9104,8022,4932,2996,1936,529,210,319,7673,3055,4618,13470,4928,8542,384,214,171,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taoism:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Includes Chinese Traditional Beliefs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resident Population:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resident population comprises two groups of people. They are Singapore Citizens and Permanent Residents. The latter group refers to non-Citizens who have been granted permanent residence here.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date generated: 20/01/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
